"Rank","Root Domain","Domain Analysis","Linking Root Domains","Domain Authority"
"1","youtube.com","View analysis","21,415,721","100"
"2","apple.com","View analysis","6,218,171","100"
"3","www.google.com","View analysis","13,565,125","100"
"4","www.blogger.com","View analysis","27,642,209","99"
"5","support.google.com","View analysis","4,965,378","99"
"6","play.google.com","View analysis","3,694,860","99"
"7","microsoft.com","View analysis","5,046,926","99"
"8","linkedin.com","View analysis","11,088,898","99"
"9","wordpress.org","View analysis","11,445,854","98"
"10","cloudflare.com","View analysis","5,940,892","98"
"11","mozilla.org","View analysis","2,224,961","98"
"12","youtu.be","View analysis","4,843,483","98"
"13","maps.google.com","View analysis","4,974,899","98"
"14","docs.google.com","View analysis","3,002,319","98"
"15","en.wikipedia.org","View analysis","6,757,292","98"
"16","adobe.com","View analysis","2,825,554","97"
"17","bp.blogspot.com","View analysis","17,019,803","97"
"18","accounts.google.com","View analysis","2,543,413","97"
"19","drive.google.com","View analysis","2,227,683","97"
"20","whatsapp.com","View analysis","2,808,775","97"
"21","googleusercontent.com","View analysis","2,639,927","97"
"22","plus.google.com","View analysis","11,661,034","97"
"23","sites.google.com","View analysis","2,066,046","97"
"24","europa.eu","View analysis","2,018,513","97"
"25","es.wikipedia.org","View analysis","929,827","96"
"26","uol.com.br","View analysis","661,567","96"
"27","facebook.com","View analysis","57,207,234","96"
"28","github.com","View analysis","2,585,841","96"
"29","amazon.com","View analysis","4,801,417","96"
"30","istockphoto.com","View analysis","3,381,690","96"
"31","vk.com","View analysis","1,711,108","96"
"32","vimeo.com","View analysis","3,480,294","96"
"33","t.me","View analysis","868,849","96"
"34","search.google.com","View analysis","1,230,913","95"
"35","cnn.com","View analysis","1,543,371","95"
"36","theguardian.com","View analysis","1,524,067","95"
"37","feedburner.com","View analysis","1,773,948","95"
"38","live.com","View analysis","859,395","95"
"39","google.de","View analysis","1,125,411","95"
"40","slideshare.net","View analysis","991,473","95"
"41","dailymotion.com","View analysis","1,129,387","95"
"42","google.es","View analysis","469,445","95"
"43","paypal.com","View analysis","1,069,337","95"
"44","who.int","View analysis","1,962,355","95"
"45","nih.gov","View analysis","1,319,011","95"
"46","issuu.com","View analysis","955,324","95"
"47","developers.google.com","View analysis","1,047,239","95"
"48","files.wordpress.com","View analysis","7,491,899","95"
"49","bbc.co.uk","View analysis","1,696,101","95"
"50","google.com.br","View analysis","293,041","95"
"51","hugedomains.com","View analysis","9,124,928","95"
"52","enable-javascript.com","View analysis","7,705,171","95"
"53","wikimedia.org","View analysis","1,817,444","95"
"54","policies.google.com","View analysis","2,032,509","95"
"55","creativecommons.org","View analysis","1,687,819","95"
"56","news.google.com","View analysis","747,438","95"
"57","bbc.com","View analysis","836,369","95"
"58","gstatic.com","View analysis","611,232","95"
"59","youronlinechoices.com","View analysis","555,004","95"
"60","brandbucket.com","View analysis","11,134,344","95"
"61","w3.org","View analysis","1,135,869","95"
"62","dropbox.com","View analysis","1,056,536","95"
"63","nytimes.com","View analysis","2,116,721","95"
"64","globo.com","View analysis","436,786","95"
"65","mail.google.com","View analysis","483,556","95"
"66","tools.google.com","View analysis","1,648,614","95"
"67","dan.com","View analysis","2,295,718","95"
"68","jimdofree.com","View analysis","1,701,128","95"
"69","medium.com","View analysis","1,537,255","95"
"70","www.yahoo.com","View analysis","1,298,871","95"
"71","opera.com","View analysis","874,497","95"
"72","reuters.com","View analysis","883,699","95"
"73","google.co.jp","View analysis","650,046","95"
"74","imdb.com","View analysis","1,469,679","95"
"75","pt.wikipedia.org","View analysis","405,948","95"
"76","fr.wikipedia.org","View analysis","616,465","95"
"77","line.me","View analysis","763,087","95"
"78","forbes.com","View analysis","1,431,021","95"
"79","www.weebly.com","View analysis","4,617,789","95"
"80","myspace.com","View analysis","1,384,129","95"
"81","huffpost.com","View analysis","1,173,860","94"
"82","de.wikipedia.org","View analysis","656,086","94"
"83","archive.org","View analysis","1,095,097","94"
"84","wired.com","View analysis","648,148","94"
"85","namecheap.com","View analysis","1,089,759","94"
"86","t.co","View analysis","2,061,275","94"
"87","pinterest.com","View analysis","8,364,368","94"
"88","indiatimes.com","View analysis","426,354","94"
"89","wa.me","View analysis","913,871","94"
"90","cpanel.net","View analysis","1,526,964","94"
"91","booking.com","View analysis","381,307","94"
"92","goo.gl","View analysis","4,516,749","94"
"93","amazon.es","View analysis","183,052","94"
"94","bloomberg.com","View analysis","815,007","94"
"95","fb.com","View analysis","427,755","94"
"96","networkadvertising.org","View analysis","711,562","94"
"97","telegraph.co.uk","View analysis","954,157","94"
"98","independent.co.uk","View analysis","695,663","94"
"99","wikia.com","View analysis","513,288","94"
"100","cbsnews.com","View analysis","521,390","94"
"101","ok.ru","View analysis","350,215","94"
"102","buydomains.com","View analysis","1,078,621","94"
"103","wp.com","View analysis","1,537,349","94"
"104","amazon.de","View analysis","541,022","94"
"105","hatena.ne.jp","View analysis","1,431,064","94"
"106","wsj.com","View analysis","952,486","94"
"107","photos.google.com","View analysis","279,268","94"
"108","mail.ru","View analysis","484,061","94"
"109","ipv4.google.com","View analysis","347,308","94"
"110","aliexpress.com","View analysis","480,670","94"
"111","rakuten.co.jp","View analysis","603,803","94"
"112","thesun.co.uk","View analysis","356,897","94"
"113","google.co.uk","View analysis","592,664","94"
"114","translate.google.com","View analysis","295,585","94"
"115","elmundo.es","View analysis","234,305","94"
"116","change.org","View analysis","476,929","94"
"117","google.pl","View analysis","209,312","94"
"118","gravatar.com","View analysis","12,074,867","94"
"119","android.com","View analysis","295,710","94"
"120","estadao.com.br","View analysis","128,060","94"
"121","tinyurl.com","View analysis","1,400,659","94"
"122","time.com","View analysis","780,149","94"
"123","harvard.edu","View analysis","712,043","94"
"124","office.com","View analysis","444,327","94"
"125","draft.blogger.com","View analysis","10,310,696","94"
"126","aboutads.info","View analysis","564,154","94"
"127","amazon.co.jp","View analysis","821,967","94"
"128","abril.com.br","View analysis","263,795","94"
"129","nasa.gov","View analysis","652,216","94"
"130","mediafire.com","View analysis","839,374","94"
"131","forms.gle","View analysis","610,066","94"
"132","myaccount.google.com","View analysis","328,192","94"
"133","telegram.me","View analysis","331,194","94"
"134","google.ru","View analysis","195,723","94"
"135","picasaweb.google.com","View analysis","643,436","94"
"136","marketingplatform.google....","View analysis","830,077","94"
"137","books.google.com","View analysis","419,135","94"
"138","cnet.com","View analysis","676,690","94"
"139","mirror.co.uk","View analysis","358,027","94"
"140","washingtonpost.com","View analysis","1,101,564","94"
"141","netvibes.com","View analysis","1,193,420","94"
"142","twitter.com","View analysis","58,623,664","94"
"143","foxnews.com","View analysis","553,584","94"
"144","latimes.com","View analysis","712,815","94"
"145","google.fr","View analysis","409,644","94"
"146","bit.ly","View analysis","4,729,688","94"
"147","usatoday.com","View analysis","810,124","94"
"148","abcnews.go.com","View analysis","562,620","94"
"149","news.yahoo.com","View analysis","667,420","94"
"150","scribd.com","View analysis","751,996","94"
"151","elpais.com","View analysis","407,920","94"
"152","cpanel.com","View analysis","1,437,352","94"
"153","amazon.co.uk","View analysis","757,382","94"
"154","dailymail.co.uk","View analysis","1,026,916","94"
"155","4shared.com","View analysis","551,818","94"
"156","businessinsider.com","View analysis","743,092","94"
"157","msn.com","View analysis","1,089,060","94"
"158","huffingtonpost.com","View analysis","1,081,632","94"
"159","ig.com.br","View analysis","153,289","94"
"160","plesk.com","View analysis","700,303","94"
"161","terra.com.br","View analysis","203,724","94"
"162","un.org","View analysis","544,894","94"
"163","google.it","View analysis","436,206","94"
"164","get.google.com","View analysis","737,542","94"
"165","cdc.gov","View analysis","830,725","94"
"166","fandom.com","View analysis","551,706","94"
"167","www.gov.uk","View analysis","586,916","94"
"168","list-manage.com","View analysis","760,923","94"
"169","nature.com","View analysis","554,200","94"
"170","google.com.tw","View analysis","142,673","93"
"171","ted.com","View analysis","612,854","93"
"172","gizmodo.com","View analysis","399,929","93"
"173","weibo.com","View analysis","1,427,865","93"
"174","quora.com","View analysis","392,045","93"
"175","nypost.com","View analysis","371,596","93"
"176","playstation.com","View analysis","226,479","93"
"177","cnil.fr","View analysis","202,094","93"
"178","researchgate.net","View analysis","567,744","93"
"179","rt.com","View analysis","287,723","93"
"180","instagram.com","View analysis","25,159,206","93"
"181","mozilla.com","View analysis","203,661","93"
"182","noaa.gov","View analysis","319,429","93"
"183","code.google.com","View analysis","330,354","93"
"184","ovh.com","View analysis","483,710","93"
"185","lemonde.fr","View analysis","259,919","93"
"186","feedproxy.google.com","View analysis","783,722","93"
"187","lavanguardia.com","View analysis","139,975","93"
"188","rtve.es","View analysis","181,071","93"
"189","bp2.blogger.com","View analysis","549,807","93"
"190","addtoany.com","View analysis","734,381","93"
"191","shutterstock.com","View analysis","416,672","93"
"192","pexels.com","View analysis","287,747","93"
"193","akamaihd.net","View analysis","529,530","93"
"194","groups.google.com","View analysis","337,984","93"
"195","imageshack.us","View analysis","818,869","93"
"196","gooyaabitemplates.com","View analysis","427,236","93"
"197","dw.com","View analysis","333,408","93"
"198","abc.es","View analysis","196,419","93"
"199","ytimg.com","View analysis","613,032","93"
"200","alexa.com","View analysis","321,867","93"
"201","ft.com","View analysis","449,344","93"
"202","google.co.in","View analysis","267,447","93"
"203","gofundme.com","View analysis","337,180","93"
"204","cornell.edu","View analysis","433,414","93"
"205","instructables.com","View analysis","329,277","93"
"206","yandex.ru","View analysis","995,718","93"
"207","cnbc.com","View analysis","512,288","93"
"208","pixabay.com","View analysis","416,116","93"
"209","theglobeandmail.com","View analysis","253,525","93"
"210","liberation.fr","View analysis","123,542","93"
"211","ggpht.com","View analysis","712,447","93"
"212","godaddy.com","View analysis","2,477,383","93"
"213","privacyshield.gov","View analysis","431,976","93"
"214","metro.co.uk","View analysis","236,026","93"
"215","netlify.app","View analysis","333,091","93"
"216","prezi.com","View analysis","304,411","93"
"217","steampowered.com","View analysis","260,396","93"
"218","nikkei.com","View analysis","224,542","93"
"219","springer.com","View analysis","442,031","93"
"220","huawei.com","View analysis","1,861,415","93"
"221","sapo.pt","View analysis","228,081","93"
"222","cambridge.org","View analysis","304,024","93"
"223","ea.com","View analysis","185,756","93"
"224","ikea.com","View analysis","331,540","93"
"225","qq.com","View analysis","4,184,805","93"
"226","leparisien.fr","View analysis","127,176","93"
"227","economist.com","View analysis","368,278","93"
"228","newsweek.com","View analysis","338,191","93"
"229","lycos.com","View analysis","682,333","93"
"230","vice.com","View analysis","382,767","93"
"231","fda.gov","View analysis","346,764","93"
"232","amzn.to","View analysis","877,815","93"
"233","photobucket.com","View analysis","1,721,256","93"
"234","chicagotribune.com","View analysis","359,368","93"
"235","webmd.com","View analysis","664,155","93"
"236","hm.com","View analysis","183,099","93"
"237","bloglovin.com","View analysis","508,374","93"
"238","addthis.com","View analysis","686,912","93"
"239","nginx.org","View analysis","640,049","93"
"240","urbandictionary.com","View analysis","250,921","93"
"241","detik.com","View analysis","390,084","93"
"242","xinhuanet.com","View analysis","597,885","93"
"243","guardian.co.uk","View analysis","617,641","93"
"244","goodreads.com","View analysis","873,758","93"
"245","sendspace.com","View analysis","156,000","93"
"246","ria.ru","View analysis","179,072","93"
"247","20minutos.es","View analysis","162,217","93"
"248","theatlantic.com","View analysis","546,273","93"
"249","bp1.blogger.com","View analysis","549,638","93"
"250","francetvinfo.fr","View analysis","152,200","93"
"251","gnu.org","View analysis","579,559","93"
"252","slate.com","View analysis","377,100","93"
"253","www.gov.br","View analysis","138,377","93"
"254","plos.org","View analysis","275,327","93"
"255","google.nl","View analysis","246,610","93"
"256","as.com","View analysis","125,630","93"
"257","columbia.edu","View analysis","317,598","93"
"258","sputniknews.com","View analysis","173,854","93"
"259","www.wix.com","View analysis","717,394","93"
"260","yelp.com","View analysis","905,191","93"
"261","sciencedaily.com","View analysis","347,872","93"
"262","unesco.org","View analysis","311,948","93"
"263","kickstarter.com","View analysis","464,632","93"
"264","amazon.it","View analysis","150,176","93"
"265","npr.org","View analysis","793,442","93"
"266","sedo.com","View analysis","2,357,876","93"
"267","ziddu.com","View analysis","187,638","93"
"268","amazon.fr","View analysis","250,263","93"
"269","discord.com","View analysis","292,813","93"
"270","search.yahoo.com","View analysis","463,856","93"
"271","icann.org","View analysis","607,972","93"
"272","discord.gg","View analysis","266,153","93"
"273","espn.com","View analysis","372,296","93"
"274","xbox.com","View analysis","173,897","93"
"275","nydailynews.com","View analysis","373,423","93"
"276","sky.com","View analysis","217,343","93"
"277","doubleclick.net","View analysis","617,034","93"
"278","psychologytoday.com","View analysis","352,812","93"
"279","naver.com","View analysis","490,098","93"
"280","spotify.com","View analysis","1,395,651","93"
"281","id.wikipedia.org","View analysis","510,247","93"
"282","shopify.com","View analysis","1,950,620","93"
"283","cbc.ca","View analysis","452,383","93"
"284","yahoo.co.jp","View analysis","640,618","93"
"285","britannica.com","View analysis","429,565","93"
"286","buzzfeed.com","View analysis","570,274","93"
"287","techcrunch.com","View analysis","477,562","93"
"288","ebay.com","View analysis","935,299","93"
"289","nginx.com","View analysis","552,052","93"
"290","zoom.us","View analysis","566,189","93"
"291","photos1.blogger.com","View analysis","863,095","93"
"292","secureserver.net","View analysis","1,039,103","93"
"293","ja.wikipedia.org","View analysis","349,221","93"
"294","hp.com","View analysis","457,625","93"
"295","express.co.uk","View analysis","315,274","93"
"296","ietf.org","View analysis","376,334","93"
"297","wiley.com","View analysis","566,407","93"
"298","mit.edu","View analysis","670,614","93"
"299","newyorker.com","View analysis","407,407","93"
"300","sciencedirect.com","View analysis","571,216","93"
"301","oup.com","View analysis","378,924","93"
"302","engadget.com","View analysis","439,283","93"
"303","tmz.com","View analysis","212,477","93"
"304","outlook.com","View analysis","301,781","93"
"305","apache.org","View analysis","950,656","93"
"306","bitly.com","View analysis","396,042","93"
"307","tripadvisor.com","View analysis","613,878","93"
"308","pbs.org","View analysis","519,083","93"
"309","m.wikipedia.org","View analysis","300,864","93"
"310","surveymonkey.com","View analysis","439,088","93"
"311","sciencemag.org","View analysis","325,045","93"
"312","soundcloud.com","View analysis","1,787,543","93"
"313","oracle.com","View analysis","564,784","93"
"314","bandcamp.com","View analysis","589,188","93"
"315","interia.pl","View analysis","153,629","93"
"316","aol.com","View analysis","695,674","93"
"317","bing.com","View analysis","986,922","93"
"318","walmart.com","View analysis","317,427","93"
"319","academia.edu","View analysis","359,814","93"
"320","standard.co.uk","View analysis","217,325","93"
"321","nbcnews.com","View analysis","663,890","93"
"322","ign.com","View analysis","287,599","93"
"323","abc.net.au","View analysis","396,009","93"
"324","vox.com","View analysis","441,026","93"
"325","ox.ac.uk","View analysis","258,205","93"
"326","gmail.com","View analysis","212,490","93"
"327","twitch.tv","View analysis","407,863","93"
"328","thetimes.co.uk","View analysis","383,534","93"
"329","theverge.com","View analysis","376,044","93"
"330","smh.com.au","View analysis","303,669","93"
"331","stanford.edu","View analysis","607,754","93"
"332","wikihow.com","View analysis","516,332","93"
"333","about.com","View analysis","761,227","93"
"334","eventbrite.com","View analysis","624,733","93"
"335","disney.com","View analysis","241,488","93"
"336","clickbank.net","View analysis","466,989","93"
"337","www.wikipedia.org","View analysis","537,972","93"
"338","welt.de","View analysis","231,933","93"
"339","hollywoodreporter.com","View analysis","265,627","93"
"340","skype.com","View analysis","440,991","93"
"341","sfgate.com","View analysis","370,989","93"
"342","biglobe.ne.jp","View analysis","232,252","93"
"343","pl.wikipedia.org","View analysis","144,784","93"
"344","ca.gov","View analysis","463,878","93"
"345","target.com","View analysis","276,537","93"
"346","adssettings.google.com","View analysis","361,936","93"
"347","zendesk.com","View analysis","492,055","93"
"348","washington.edu","View analysis","353,161","93"
"349","nationalgeographic.com","View analysis","620,940","93"
"350","it.wikipedia.org","View analysis","329,306","93"
"351","spiegel.de","View analysis","337,471","93"
"352","mashable.com","View analysis","420,492","93"
"353","ftc.gov","View analysis","252,750","93"
"354","deezer.com","View analysis","152,021","93"
"355","doi.org","View analysis","451,660","93"
"356","samsung.com","View analysis","356,819","93"
"357","arxiv.org","View analysis","224,072","93"
"358","berkeley.edu","View analysis","463,583","93"
"359","alibaba.com","View analysis","387,454","93"
"360","fb.me","View analysis","310,611","93"
"361","rapidshare.com","View analysis","290,739","93"
"362","mega.nz","View analysis","174,898","93"
"363","e-monsite.com","View analysis","144,718","93"
"364","usnews.com","View analysis","410,785","93"
"365","repubblica.it","View analysis","198,091","93"
"366","finance.yahoo.com","View analysis","449,956","93"
"367","lefigaro.fr","View analysis","216,552","93"
"368","afternic.com","View analysis","2,304,051","93"
"369","news.com.au","View analysis","298,373","93"
"370","picasa.google.com","View analysis","256,868","93"
"371","themeforest.net","View analysis","522,030","93"
"372","imageshack.com","View analysis","453,649","93"
"373","googleblog.com","View analysis","258,783","93"
"374","ru.wikipedia.org","View analysis","370,735","93"
"375","clarin.com","View analysis","136,425","93"
"376","www.over-blog.com","View analysis","819,942","93"
"377","yadi.sk","View analysis","181,196","93"
"378","netflix.com","View analysis","324,541","93"
"379","storage.googleapis.com","View analysis","717,871","93"
"380","lg.com","View analysis","131,864","93"
"381","whitehouse.gov","View analysis","378,816","93"
"382","variety.com","View analysis","265,324","93"
"383","google.ca","View analysis","335,654","93"
"384","php.net","View analysis","640,082","93"
"385","disqus.com","View analysis","919,170","93"
"386","loc.gov","View analysis","440,837","92"
"387","dreniq.com","View analysis","284,493","92"
"388","evernote.com","View analysis","313,096","92"
"389","soratemplates.com","View analysis","242,222","92"
"390","orkut.com.br","View analysis","131,087","92"
"391","zdf.de","View analysis","126,782","92"
"392","nicovideo.jp","View analysis","149,034","92"
"393","ap.org","View analysis","190,513","92"
"394","iso.org","View analysis","193,750","92"
"395","m.me","View analysis","216,445","92"
"396","biblegateway.com","View analysis","276,432","92"
"397","abc.com","View analysis","158,610","92"
"398","unicef.org","View analysis","173,717","92"
"399","namesilo.com","View analysis","275,218","92"
"400","thoughtco.com","View analysis","355,592","92"
"401","last.fm","View analysis","434,905","92"
"402","billboard.com","View analysis","206,891","92"
"403","hbr.org","View analysis","289,083","92"
"404","ucoz.ru","View analysis","186,813","92"
"405","utexas.edu","View analysis","260,810","92"
"406","trustpilot.com","View analysis","388,726","92"
"407","tiktok.com","View analysis","318,323","92"
"408","vkontakte.ru","View analysis","352,670","92"
"409","apnews.com","View analysis","257,716","92"
"410","groups.yahoo.com","View analysis","314,716","92"
"411","box.com","View analysis","269,083","92"
"412","rambler.ru","View analysis","307,604","92"
"413","python.org","View analysis","185,369","92"
"414","upenn.edu","View analysis","301,884","92"
"415","focus.de","View analysis","137,952","92"
"416","so-net.ne.jp","View analysis","170,458","92"
"417","dreamstime.com","View analysis","306,828","92"
"418","imgur.com","View analysis","1,329,846","92"
"419","investopedia.com","View analysis","293,237","92"
"420","ebay.de","View analysis","125,669","92"
"421","medicalnewstoday.com","View analysis","253,451","92"
"422","goal.com","View analysis","123,969","92"
"423","boston.com","View analysis","315,864","92"
"424","ssl-images-amazon.com","View analysis","401,199","92"
"425","answers.yahoo.com","View analysis","207,986","92"
"426","nba.com","View analysis","222,415","92"
"427","answers.com","View analysis","247,974","92"
"428","tabelog.com","View analysis","147,818","92"
"429","depositfiles.com","View analysis","142,679","92"
"430","video.google.com","View analysis","221,119","92"
"431","usgs.gov","View analysis","223,709","92"
"432","zdnet.com","View analysis","285,052","92"
"433","sony.com","View analysis","151,778","92"
"434","stackoverflow.com","View analysis","348,062","92"
"435","ucla.edu","View analysis","260,660","92"
"436","amazon.ca","View analysis","220,717","92"
"437","xing.com","View analysis","458,305","92"
"438","flickr.com","View analysis","9,074,267","92"
"439","thedailybeast.com","View analysis","254,827","92"
"440","wiktionary.org","View analysis","294,166","92"
"441","blog.google","View analysis","122,625","92"
"442","dribbble.com","View analysis","569,694","92"
"443","legifrance.gouv.fr","View analysis","125,705","92"
"444","iubenda.com","View analysis","212,649","92"
"445","fifa.com","View analysis","161,801","92"
"446","greenpeace.org","View analysis","185,814","92"
"447","nps.gov","View analysis","348,872","92"
"448","people.com","View analysis","231,920","92"
"449","stores.jp","View analysis","420,760","92"
"450","nvidia.com","View analysis","169,551","92"
"451","udemy.com","View analysis","178,159","92"
"452","nifty.com","View analysis","212,944","92"
"453","ndtv.com","View analysis","191,941","92"
"454","nhk.or.jp","View analysis","228,944","92"
"455","princeton.edu","View analysis","319,319","92"
"456","bild.de","View analysis","160,554","92"
"457","bp3.blogger.com","View analysis","549,855","92"
"458","searchenginejournal.com","View analysis","277,426","92"
"459","behance.net","View analysis","827,174","92"
"460","thenextweb.com","View analysis","184,985","92"
"461","house.gov","View analysis","275,973","92"
"462","dell.com","View analysis","233,864","92"
"463","weforum.org","View analysis","203,792","92"
"464","discogs.com","View analysis","136,586","92"
"465","a8.net","View analysis","440,275","92"
"466","mixcloud.com","View analysis","212,978","92"
"467","xda-developers.com","View analysis","134,405","92"
"468","thehill.com","View analysis","213,406","92"
"469","insider.com","View analysis","262,486","92"
"470","kotaku.com","View analysis","137,369","92"
"471","trello.com","View analysis","241,448","92"
"472","cloud.google.com","View analysis","141,760","92"
"473","chron.com","View analysis","232,485","92"
"474","thestar.com","View analysis","224,674","92"
"475","allrecipes.com","View analysis","204,935","92"
"476","zeit.de","View analysis","170,047","92"
"477","cam.ac.uk","View analysis","226,232","92"
"478","my.yahoo.com","View analysis","1,168,224","92"
"479","usda.gov","View analysis","382,038","92"
"480","worldbank.org","View analysis","251,184","92"
"481","hindustantimes.com","View analysis","191,903","92"
"482","businessinsider.com.au","View analysis","255,862","92"
"483","wisc.edu","View analysis","294,511","92"
"484","uber.com","View analysis","135,224","92"
"485","ibb.co","View analysis","135,244","92"
"486","megaupload.com","View analysis","258,002","92"
"487","ameblo.jp","View analysis","731,387","92"
"488","umich.edu","View analysis","333,001","92"
"489","000webhost.com","View analysis","270,074","92"
"490","www.canalblog.com","View analysis","402,112","92"
"491","bp0.blogger.com","View analysis","549,605","92"
"492","irs.gov","View analysis","284,590","92"
"493","bund.de","View analysis","507,538","92"
"494","epa.gov","View analysis","337,500","92"
"495","allaboutcookies.org","View analysis","385,938","92"
"496","viglink.com","View analysis","405,276","92"
"497","pewresearch.org","View analysis","269,699","92"
"498","storage.canalblog.com","View analysis","299,945","92"
"499","eff.org","View analysis","161,715","92"
"500","home.neustar","View analysis","452,051","92"
